datecurrent,fireyear,incidentname,perimeterdatetime,gisacres,lat,lon,geometry,index_right,NAME,fire_date,year,month,lon_adj,date,temp_month,precip_month
2010-09-15 00:00:00,2005,18 ROAD,2005-07-16 19:37:00,17.51150937,39.26211028721491,-108.70553651118293,POINT (-108.70553651118293 39.26211028721491),284,Mesa County,2005-07-16 19:37:00,2005,7,251.2944634888171,2005-07-16 19:37:00,80.06017578125005,0.0019511691125291691
2017-12-06 00:00:00,2017,18 Road,2017-05-27 00:00:00,0.70730139,39.24629893091578,-108.70031098965698,POINT (-108.70031098965698 39.24629893091578),284,Mesa County,2017-05-27 00:00:00,2017,5,251.299689010343,2017-05-27 00:00:00,61.228730468750044,0.03502652011851314
2016-11-02 00:00:00,2016,18 Road Tracer,2016-07-18 00:00:00,0.1235982,39.26130103067896,-108.71466931820386,POINT (-108.71466931820386 39.26130103067896),284,Mesa County,2016-07-18 00:00:00,2016,7,251.28533068179615,2016-07-18 00:00:00,78.09538085937504,0.015024144448761946
2015-09-29 00:00:00,2015,20 Mile,2015-09-18 09:45:00,7.22590469,40.74856283988963,-107.75665455337936,POINT (-107.75665455337936 40.74856283988963),286,Moffat County,2015-09-18 09:45:00,2015,9,252.24334544662065,2015-09-18 09:45:00,61.49416015625005,0.027260096892982255
2017-12-06 00:00:00,2017,21 Road,2017-05-30 00:00:00,28.77381076,39.20846708841309,-108.65497938900153,POINT (-108.65497938900153 39.20846708841309),284,Mesa County,2017-05-30 00:00:00,2017,5,251.34502061099846,2017-05-30 00:00:00,61.228730468750044,0.03502652011851314
2015-04-15 00:00:00,2015,213,2015-04-14 00:00:00,52.96156487,37.10055385354079,-107.88499601534477,POINT (-107.88499601534477 37.10055385354079),279,La Plata County,2015-04-14 00:00:00,2015,4,252.11500398465523,2015-04-14 00:00:00,46.31940429687504,0.029018028784496712
2017-12-06 00:00:00,2017,245 Fire,2017-09-19 00:00:00,3.05388126,39.66415854521013,-107.59837560768902,POINT (-107.59837560768902 39.66415854521013),268,Garfield County,2017-09-19 00:00:00,2017,9,252.40162439231096,2017-09-19 00:00:00,55.24206054687504,0.06256492769671604
2015-12-14 00:00:00,2015,245 RD,2015-03-22 00:00:00,3.47057621,39.68453184311453,-107.64647758049841,POINT (-107.64647758049841 39.68453184311453),268,Garfield County,2015-03-22 00:00:00,2015,3,252.3535224195016,2015-03-22 00:00:00,30.25563476562504,0.053161914993438406
2016-11-02 00:00:00,2016,25,2016-08-05 00:00:00,12.48924247,39.1802271514785,-108.56947266653816,POINT (-108.56947266653816 39.1802271514785),284,Mesa County,2016-08-05 00:00:00,2016,8,251.43052733346184,2016-08-05 00:00:00,73.10099609375004,0.03361527232595254
2010-09-15 00:00:00,2008,25 Road,2008-07-05 17:21:00,12.15690334,39.16772131233579,-108.57538637838246,POINT (-108.57538637838246 39.16772131233579),284,Mesa County,2008-07-05 17:21:00,2008,7,251.42461362161754,2008-07-05 17:21:00,79.29069335937504,0.011387047104933299
2010-09-15 00:00:00,2008,25 Road Two,2008-07-17 13:42:00,15.7951564,39.173261117576196,-108.57346638382582,POINT (-108.57346638382582 39.173261117576196),284,Mesa County,2008-07-17 13:42:00,2008,7,251.4265336161742,2008-07-17 13:42:00,79.29069335937504,0.011387047104933299
,2001,2nd Box,2001-05-25 00:00:00,115.83456486,37.35241478897371,-107.30170586976928,POINT (-107.30170586976928 37.35241478897371),248,Archuleta County,2001-05-25 00:00:00,2001,5,252.69829413023072,2001-05-25 00:00:00,45.05377929687504,0.040556663386803124
2011-11-07 00:00:00,2010,3 C,2010-08-03 00:00:00,118.84272246,40.55120814125162,-108.337424323923,POINT (-108.337424323923 40.55120814125162),286,Moffat County,2010-08-03 00:00:00,2010,8,251.66257567607698,2010-08-03 00:00:00,70.50207031250005,0.03832487504676683
2016-11-02 00:00:00,2016,301,2016-09-19 00:00:00,4.43093561,39.46643866538009,-107.95565642741687,POINT (-107.95565642741687 39.46643866538009),268,Garfield County,2016-09-19 00:00:00,2016,9,252.04434357258313,2016-09-19 00:00:00,58.52741210937504,0.04651094365112949
2010-09-15 00:00:00,2007,301 Holms Mesa,2007-07-07 14:56:00,178.89419521,39.477325690556604,-107.90358168972983,POINT (-107.90358168972983 39.477325690556604),268,Garfield County,2007-07-07 14:56:00,2007,7,252.09641831027017,2007-07-07 14:56:00,72.10255859375005,0.014959390682668891
